1,1,1,1,101
2,1,1,1,102
3,1,1,1,103
4,1,1,1,104
5,1,1,1,105
6,1,1,1,106
7,1,1,1,107
8,1,1,1,108
9,1,1,1,109
10,1,1,1,110
11,1,1,2,111
12,1,1,1,112
13,1,1,1,113
14,1,1,1,114
15,1,1,2,115
16,1,1,2,116
17,1,1,2,117
18,1,1,2,118
19,1,1,2,119
20,1,1,2,120
21,1,1,2,121
1,1,2,1,122
2,1,2,1,123
3,1,2,1,124
4,1,2,1,125
5,1,2,1,126
6,1,2,1,127
7,1,2,1,128
8,1,2,1,129
9,1,2,1,130
10,1,2,1,131
11,1,2,1,132
12,1,2,2,133
13,1,2,2,134
14,1,2,2,135
15,1,2,2,136
16,1,2,2,137
17,1,2,2,138
18,1,2,2,139
19,1,2,2,140
20,1,2,2,141
21,1,2,2,142
